0,5,1.8066794,['Target'],475266,,,MeanRT participant 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2.1644698,['Target'],475266,,,MeanRT participant 2,,,,5 distractors,10 distractors,total data set,,,,,,,,,,,,,,,,trials.thisRepN,num_distr,mouse.time,mouse.clicked_name,participant,,2,10,1.4460495,['Target'],475266
65,5,2.2065094,['Target'],475266,,,,,,,,,,,58,10,1.3532964,['Target'],475266,,,,,,,,,,130,5,2.0726837,['Target'],475266,,126,10,2.2073137,['Target'],475266
66,10,3.306972,['Target'],475266,,,,,,,,,,,59,10,1.0395967,['Target'],475266,,,,,,,,,,134,5,1.8331847,['Target'],475266,,127,10,1.9386006,['Target'],475266
67,10,1.9418972,['Target'],475266,,,,,,,,,,,60,5,1.3511159,['Target'],475266,,,,,,,,,,136,5,1.54232,['Target'],475266,,129,10,1.6245173,['Target'],475266
68,5,1.798123,['Target'],475266,,,,,,,,,,,61,5,1.4319481,['Target'],475266,,,,,,,,,,138,5,1.6469282,['Target'],475266,,131,10,1.9887537,['Target'],475266
69,10,1.2054721,['Target'],475266,,,,,,,,,,,62,10,1.8763916,['Target'],475266,,,,,,,,,,139,5,1.5184417,['Target'],475266,,132,10,1.2756873,['Target'],475266
70,10,2.1392508,['Target'],475266,,,,,,,,,,,63,10,2.4153722,['Target'],475266,,,,,,,,,,140,5,1.8993422,['Target'],475266,,133,10,2.2721302,['Target'],475266
71,10,1.4605878,['Target'],475266,,,,,,,,,,,64,5,1.6744153,['Target'],475266,,,,,,,,,,141,5,2.1617693,['Target'],475266,,135,10,1.9149665,['Target'],475266
72,10,2.0073265,['Target'],475266,,,,,,,,,,,65,5,2.2065094,['Target'],475266,,,,,,,,,,144,5,1.2975814,['Target'],475266,,137,10,2.0694818,['Target'],475266
73,10,1.7881623,['Target'],475266,,,,,,,,,,,66,10,3.306972,['Target'],475266,,,,,,,,,,147,5,1.5243211,['Target'],475266,,142,10,1.4996718,['Target'],475266
74,5,1.923282,['Target'],475266,,,,,,,,,,,67,10,1.9418972,['Target'],475266,,,,,,,,,,148,5,1.367544,['Target'],475266,,143,10,2.4599393,['Target'],475266
75,10,2.0496691,['Target'],475266,,,,,,,,,,,68,5,1.798123,['Target'],475266,,,,,,,,,,149,5,2.0155466,['Target'],475266,,145,10,1.3828225,['Target'],475266
